address,amount
14936U3DJLzJNXxij2ztDzU7nT23eBMFgsx7xrRLV5ATXtfL,4166.67
14EAgFLnFABXV9f2sG87wJ9bvuTNDQYZDyxcYGoT8rbygraW,2638.89
13uXHLc4Jj45gqNnJjdaBUeGspq9s3okJ3PaYt9CGex8qV43,1805.56
14koZgrZwfv2XdPgxq6nMqgDvrQau3FGV5eR8QMUuvFvh5KM,1527.78
14oozvsuCE1Svz6RWUx5toZoMBVAsq7wNZ87yHAJoxTnV84M,1319.44
14NF6ZX4P851TVpnaC3gme6A7QXrRVfieXv64kLBkVpzsDZ9,1227.22
1jdqZ53uEWAVFMGD1FCYsUyu4BpqrbgwRw2NpKpPPPQEG2z,1051.94
12pTnFZ1AvVnZ2DFNnaHmLWPaXJePrnQvPMgU41298HvvDKb,920.56
145cdudx2bLMdGNj9jUM4PRBqH3f3mDSijVru8i5uzbHMUUN,818.33
13zXak1Xjexnn4uJwN3VFvBBx2ZzmfVHrhfoAU3XHM3YnXHK,736.39
15iM2rCtPRRaTffEEwQVJr7yhAi6Hb11vfnKAtUbNvNjgYoj,669.44
16FKVLH7J7oKTM2FL5EHNsZS3nhxYi3zMkSmmbySvm1HeunR,613.61
13uyGTWfV41XcJVRms9gg4xXBL3Jd7GZQgvX3XkQ1uQiKwdT,566.39
19NUXcHcqa5VbpgpSCd41qY14qH3ZAjfZ8sQ8EnFBHxMvjz,526.11
1Zet2k5K4NHCtXC6hCAZzMAszNGn1NaDcKrnU8J8p2fJyP5,491.11
12pBC8cRVtp5jqGufibiARzL7mgdcRkyGGr9bvHWDmxoV6Ko,460.28
149AQApEw4Xe1DxWesqywiuGQHazbETMgWgT89WjEYFAc29y,433.33
12TV9i4YiJZNDkm7eHtwDd4wyHNL2Va2oAWKN9NjC7dvKuMk,409.17
16dBfC3PW1KsDwXTEQzN66EPccPRMEwPJPoAvTyCYx3ubZkL,387.5
16LZeiWX9YhVoy6mKV9Kcnx2FGyPcsxYFYBdCckkownifqDU,368.33
1KVvHRMViNiaUx7TAxDnn3voTKCHkaPn235dp9cJqBmqY5k,350.83
1Hack1R2Gip21mNVLnvwfpFEpbsT4UWHGKptQQg9JN9Xsxd,334.72
14teuCfTh688PYU9a5pjA3S7Trgr4oW3J2KJi1T1trBGCFUG,320.28
14KUf62mQzoMTcA4z6vnSXfsHzLBM39Fykc5R3Zu7mpPZSQD,306.94
14ufmUKkrVgnYTqDufnXGPQ5NcsmF6w8eGRHbpCmCMHY9Dzq,294.72
14qv5J9xn6mt7w35ASvbJCRkRXnzrjFSE5Puahe8RjrCTJEw,283.33
13Kj9qZhVJc11YQpgPpprkSLHpcgu48kKkJmps46zcbe38Vi,272.78
13KyeZcqmLeXdaQuN5nVWLthJqk881Do58yk2296mkXpq89U,263.06
15zWUsqc67ZeSTbZ5x1zmZ44J1nv7sAUwNiJStDq68DbFmu3,253.89
13zdTBfSyqxpeZ5PKL7XCRjRr2KTmosUViMSRkq3kBAK6cHj,245.56
12dR4JYh1iPkaJXLSTbqz9iUpm6diRces6wJ6SAjkhmnwixN,237.5
12GnnuiSrVdDCeS7VfDSvwAVkt8kzbhX3cDJaSUNzGpc5oq6,230.28
12Ex9JexsHGwz88XaEg8tnhBmz9BjMKMtptR9ksHNfMPmrd3,223.06
13mZW1aGtv41uzSMPu8YRdXKAKpUQAgWkbMAbLwD2CKaK4HD,216.67
15JNm7yMs3cjTUWf9uvhvuTMSeJHDme6NT6kGXe8RG1jvTnX,210.56
1292Uph4BwS9zcpoAextrGYJXFSC8NDuYnB5zqE87Er9y4AU,204.44
127XreSJZW91qLc91hwepYZ9pBfuNveqDERv9KDrm2oQf4Lu,199.17
1333zsMafds2sKAr8nG3zwXTCHPYv2Nm6CRgakpu6YVGt7nM,193.89
16CnCW2WebLd1qMtCiLJNkrtWgyBYqhpMXF6w36jGKTbSH3K,188.89
12wvDnhgvokwHJcuYngUek5pyDRwzBst67ACht5wEGDc39RG,184.17
15qfk8F7pXK1w8EJoahbDYdZueQrQ4Yy5nAHydHTyNic7qym,179.72
13BV45b5dHe3EAsVJ3qDq4VA671nwyyk51UU31no7Kx1CCnF,175.28
15XF37GkxgRJakURR4jycdrJnqWQctT5yUPzqLn81TZmwBDF,171.39
1ThiBx5DDxFhoD9GY6tz5Fp4Y7Xn1xfLmDddcoFQghDvvjg,167.5
12mXm2rmGPB2GZbBCmPn41ThYygMur2iKNArHrKCaHuxhYg4,163.61
1okZ9hKTzC3cL8B7t2hW6mAi9c2Ep5UNKW3p3Pa3w6kPFMM,160
128sq7FMkiK1f2Z8pZDfkWsgtZFfiXwRpqKmo5MPoLip8fsf,156.67
13pgGkebYEYGLhA7eR6sBM1boEvq86V9adonjswtYe1iDK2K,153.33
12WarfbFeUm5L9Fs5zkTaQQH7L5hqaGPEgM9vQ1UFK8kiUSK,147.22
